M,N,K,TYP,ACT,IDX1,IDX2
3072,1024,,10,0,0,0
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
64,64,1024,11,0,-1,0
64,64,1024,11,0,-2,0
64,64,1024,11,0,-3,0
64,64,64,11,0,-3,-2
64,64,,-3,0,-1,
64,64,64,11,0,-1,-3
16,,,14,,-6,
64,1024,,12,0,-1,-8
1024,1024,,10,0,-1,0
64,1024,,13,0,-1,
1024,2048,,10,1,-1,0
2048,1024,,10,0,-1,0
64,1024,,12,0,-1,-4
64,1024,,13,0,-1,
1024,1000,,10,0,-1,0
