IC,OC,FS,KS,STR,TYP,RP,IDX,APD
3,32,224,3,2,1,0,-1,0
32,32,112,1,1,4,1,-1,0
32,32,112,3,1,2,0,-1,0
32,32,112,1,1,4,1,-1,0
32,16,112,1,1,1,0,-1,0
16,16,112,1,1,4,0,-1,0
16,96,112,1,1,1,0,-1,0
96,96,112,1,1,4,1,-1,0
96,96,112,3,2,2,0,-1,0
96,96,56,1,1,4,1,-1,0
96,24,56,1,1,1,0,-1,0
24,24,56,1,1,4,0,-1,0
24,144,56,1,1,1,0,-1,0
144,144,56,1,1,4,1,-1,0
144,144,56,3,1,2,0,-1,0
144,144,56,1,1,4,1,-1,0
144,24,56,1,1,1,0,-1,0
24,24,56,1,1,4,0,-1,0
24,1,56,1,1,3,1,-1,-7
24,144,56,1,1,1,0,-1,0
144,144,56,1,1,4,1,-1,0
144,144,56,3,2,2,0,-1,0
144,144,28,1,1,4,1,-1,0
144,32,28,1,1,1,0,-1,0
32,32,28,1,1,4,0,-1,0
32,192,28,1,1,1,0,-1,0
192,192,28,1,1,4,1,-1,0
192,192,28,3,1,2,0,-1,0
192,192,28,1,1,4,1,-1,0
192,32,28,1,1,1,0,-1,0
32,32,28,1,1,4,0,-1,0
32,1,28,1,1,3,1,-1,-7
32,192,28,1,1,1,0,-1,0
192,192,28,1,1,4,1,-1,0
192,192,28,3,1,2,0,-1,0
192,192,28,1,1,4,1,-1,0
192,32,28,1,1,1,0,-1,0
32,32,28,1,1,4,0,-1,0
32,1,28,1,1,3,1,-1,-7
32,192,28,1,1,1,0,-1,0
192,192,28,1,1,4,1,-1,0
192,192,28,3,2,2,0,-1,0
192,192,14,1,1,4,1,-1,0
192,64,14,1,1,1,0,-1,0
64,64,14,1,1,4,0,-1,0
64,384,14,1,1,1,0,-1,0
384,384,14,1,1,4,1,-1,0
384,384,14,3,1,2,0,-1,0
384,384,14,1,1,4,1,-1,0
384,64,14,1,1,1,0,-1,0
64,64,14,1,1,4,0,-1,0
64,1,14,1,1,3,1,-1,-7
64,384,14,1,1,1,0,-1,0
384,384,14,1,1,4,1,-1,0
384,384,14,3,1,2,0,-1,0
384,384,14,1,1,4,1,-1,0
384,64,14,1,1,1,0,-1,0
64,64,14,1,1,4,0,-1,0
64,1,14,1,1,3,1,-1,-7
64,384,14,1,1,1,0,-1,0
384,384,14,1,1,4,1,-1,0
384,384,14,3,1,2,0,-1,0
384,384,14,1,1,4,1,-1,0
384,64,14,1,1,1,0,-1,0
64,64,14,1,1,4,0,-1,0
64,1,14,1,1,3,1,-1,-7
64,384,14,1,1,1,0,-1,0
384,384,14,1,1,4,1,-1,0
384,384,14,3,1,2,0,-1,0
384,384,14,1,1,4,1,-1,0
384,96,14,1,1,1,0,-1,0
96,96,14,1,1,4,0,-1,0
96,576,14,1,1,1,0,-1,0
576,576,14,1,1,4,1,-1,0
576,576,14,3,1,2,0,-1,0
576,576,14,1,1,4,1,-1,0
576,96,14,1,1,1,0,-1,0
96,96,14,1,1,4,0,-1,0
96,1,14,1,1,3,1,-1,-7
96,576,14,1,1,1,0,-1,0
576,576,14,1,1,4,1,-1,0
576,576,14,3,1,2,0,-1,0
576,576,14,1,1,4,1,-1,0
576,96,14,1,1,1,0,-1,0
96,96,14,1,1,4,0,-1,0
96,1,14,1,1,3,1,-1,-7
96,576,14,1,1,1,0,-1,0
576,576,14,1,1,4,1,-1,0
576,576,14,3,2,2,0,-1,0
576,576,7,1,1,4,1,-1,0
576,160,7,1,1,1,0,-1,0
160,160,7,1,1,4,0,-1,0
160,960,7,1,1,1,0,-1,0
960,960,7,1,1,4,1,-1,0
960,960,7,3,1,2,0,-1,0
960,960,7,1,1,4,1,-1,0
960,160,7,1,1,1,0,-1,0
160,160,7,1,1,4,0,-1,0
160,1,7,1,1,3,1,-1,-7
160,960,7,1,1,1,0,-1,0
960,960,7,1,1,4,1,-1,0
960,960,7,3,1,2,0,-1,0
960,960,7,1,1,4,1,-1,0
960,160,7,1,1,1,0,-1,0
160,160,7,1,1,4,0,-1,0
160,1,7,1,1,3,1,-1,-7
160,960,7,1,1,1,0,-1,0
960,960,7,1,1,4,1,-1,0
960,960,7,3,1,2,0,-1,0
960,960,7,1,1,4,1,-1,0
960,320,7,1,1,1,0,-1,0
160,320,7,1,1,4,0,-1,0
320,1280,7,1,1,1,0,-1,0
1280,1280,7,1,1,4,1,-1,0
1280,1000,1,1,1,0,0,-1,1
